code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
HRV,0.017196,0.016937,0.01949,0.027947,0.019589,0.024781,0.027726,0.020572,0.022196,0.028852,0.020435,0.019587,0.013415,0.019482,0.02105,0.022668,0.020519,0.018468,0.024078,0.020819
SRB,0.016249,0.016775,0.014531,0.016085,0.017642,0.018048,0.015543,0.01607,0.01899,0.013155,0.015214,0.012593,0.013512,0.015145,0.011174,0.015147,0.014461,0.017403,0.018304,0.013413
UZB,0.016699,0.015995,0.015865,0.01787,0.015198,0.019118,0.018121,0.014333,0.012126,0.01117,0.011851,0.013219,0.013124,0.01533,0.011716,0.012881,0.018674,0.016427,0.012959,0.013529
JPN,0.0855,0.086222,0.079439,0.072977,0.069718,0.067535,0.071245,0.059939,0.059222,0.058056,0.063009,0.06115,0.061736,0.063829,0.065972,0.077891,0.079741,0.074905,0.077002,0.070092
BIH,0.0078515,0.0076228,0.0084066,0.012436,0.0093116,0.011276,0.012215,0.0091899,0.0097613,0.012247,0.008698,0.0086072,0.0057744,0.0085707,0.0083612,0.0097019,0.0086223,0.0085369,0.010342,0.0091531
BGR,0.021,0.021947,0.01827,0.023116,0.022528,0.021928,0.019962,0.018564,0.023849,0.025171,0.023644,0.023335,0.018836,0.020881,0.016708,0.027196,0.020208,0.02391,0.021478,0.014722
ESP,0.099771,0.10487,0.092561,0.082067,0.074069,0.067047,0.079862,0.075735,0.076497,0.061576,0.087123,0.1056,0.077577,0.062021,0.070481,0.090162,0.10473,0.093236,0.081433,0.093542
GEO,0.0063191,0.0057134,0.0050212,0.0042719,0.0049252,0.0052166,0.0047367,0.0050765,0.0042108,0.0050244,0.0052722,0.0040969,0.0047273,0.0048771,0.0044907,0.0058155,0.0053291,0.0057007,0.0051358,0.0047618
KGZ,0.0071809,0.0065452,0.0073181,0.0068924,0.005726,0.0065996,0.0062884,0.0061864,0.0056603,0.005528,0.0050716,0.006522,0.0060473,0.0081048,0.0054593,0.0054858,0.0067894,0.0074306,0.0057418,0.0065399
PRK,0.019745,0.019022,0.010286,0.014424,0.0068976,0.010265,0.017294,0.013602,0.011689,0.010265,0.0098329,0.0033946,0.0028377,0.0084065,0.01215,0.007412,0.0052911,0.011195,0.012383,0.004905
AND,0.000084851,0.000082562,0.000075789,0.000064603,0.000055435,0.000050267,0.00006726,0.000070807,0.000058813,0.000037619,0.000075418,0.000099604,0.00006893,0.000052302,0.000069448,0.00007104,0.000068697,0.0000734,0.000055326,0.000087955
ALB,0.004986,0.0051827,0.0043989,0.0049004,0.0053262,0.0052595,0.0044482,0.0047133,0.006014,0.0035797,0.0041908,0.0038615,0.0044355,0.0045546,0.0024776,0.0049753,0.0039636,0.0053374,0.0053215,0.0035747
TKM,0.018183,0.017586,0.02102,0.021808,0.019878,0.026142,0.026035,0.019387,0.014417,0.014183,0.015002,0.018012,0.01664,0.017288,0.014417,0.016421,0.019924,0.019071,0.017403,0.019038
MKD,0.0041654,0.0045648,0.0036634,0.0039182,0.0045037,0.0043783,0.0034883,0.0037882,0.0051541,0.0025376,0.0032807,0.0029398,0.003826,0.0038743,0.0017284,0.0040324,0.0031335,0.0045516,0.0044639,0.0026914
