code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IRQ,0.033891,0.033217,0.030547,0.031783,0.034725,0.039941,0.038307,0.033042,0.031735,0.032985,0.035229,0.032971,0.036087,0.040322,0.03705,0.043432,0.039623,0.038569,0.036805,0.037846,0.038909,0.037195
SYR,0.022838,0.021773,0.019527,0.017796,0.020869,0.023819,0.02249,0.019965,0.020208,0.018402,0.02049,0.018093,0.019432,0.024139,0.022787,0.024617,0.022477,0.023541,0.021698,0.022369,0.022596,0.022144
DZA,0.043309,0.039656,0.041035,0.041241,0.050465,0.049863,0.050213,0.046576,0.045591,0.038634,0.042803,0.045216,0.044494,0.047656,0.048091,0.042595,0.045144,0.046501,0.045327,0.045872,0.043875,0.044121
PAK,0.1203,0.097371,0.085764,0.087461,0.089713,0.10389,0.094808,0.083333,0.083143,0.086299,0.098484,0.091688,0.092443,0.10078,0.085987,0.11527,0.11086,0.089181,0.10351,0.10814,0.10563,0.097838
MLT,0.000091127,0.000082139,0.000093394,0.000097587,0.00010435,0.000098695,0.00011107,0.00011288,0.00010363,0.000092101,0.000098539,0.000076854,0.000077778,0.000080737,0.000086643,0.000098462,0.00009745,0.000086126,0.00010008,0.000092934,0.000090429,0.000091344
MAR,0.041934,0.035516,0.02495,0.020653,0.02607,0.030575,0.037039,0.02964,0.024693,0.024574,0.028343,0.028519,0.024689,0.032111,0.027422,0.032513,0.031475,0.034467,0.031026,0.035115,0.033377,0.033399
CYP,0.0059517,0.0061586,0.0058325,0.0059932,0.0068961,0.0081306,0.0062746,0.0058377,0.0068803,0.0065583,0.0065377,0.0069318,0.0075516,0.0088426,0.0085544,0.0098011,0.011318,0.00911,0.0088299,0.0097682,0.0096322,0.009549
IND,1.2014,0.97823,0.81049,0.88717,0.84057,0.97613,0.91118,0.80942,0.89684,0.83071,1.0091,0.85563,0.87443,0.89469,0.87872,1.073,1.1963,0.94864,0.99073,0.89983,0.91053,0.7825
LBN,0.0021903,0.0022031,0.0019683,0.0019198,0.0023331,0.0024164,0.0023597,0.0022921,0.0024258,0.0021051,0.0022587,0.0020189,0.0020701,0.0024702,0.0023601,0.0025086,0.0024244,0.0025935,0.0022479,0.0021377,0.0021023,0.0020722
JOR,0.0064167,0.0061723,0.00592,0.0059062,0.0064732,0.00742,0.0068958,0.0068442,0.0071543,0.0064083,0.0067743,0.0064434,0.0067133,0.0077031,0.0070974,0.0080715,0.0070889,0.0080529,0.007497,0.00699,0.0069224,0.0068257
ISR,0.0027746,0.0027043,0.0025474,0.0025289,0.0028575,0.0031207,0.0029575,0.0029846,0.0031423,0.0027547,0.0029361,0.0027191,0.0028155,0.0032003,0.0029782,0.0033455,0.0030796,0.0034538,0.0031386,0.0028765,0.0028308,0.0027977
