code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
UZB,0.011718,0.011253,0.01106,0.0125,0.010567,0.013263,0.012614,0.01009,0.0085581,0.0079267,0.0084631,0.0095331,0.0095033,0.011044,0.0083329,0.0092006,0.013603,0.011998,0.0094356,0.0098736
JPN,0.078302,0.078986,0.072751,0.066937,0.063956,0.061986,0.065384,0.054871,0.054217,0.053184,0.057679,0.055953,0.056425,0.058325,0.060236,0.071087,0.072742,0.068346,0.070262,0.063974
BIH,0.0073358,0.0071391,0.0078912,0.011718,0.0087312,0.010611,0.011547,0.0086593,0.009219,0.011672,0.0082631,0.0082003,0.0054866,0.0082236,0.0080657,0.0093418,0.0083323,0.0082539,0.010051,0.0088998
BGR,0.020516,0.021455,0.01785,0.022535,0.02201,0.021424,0.019442,0.01809,0.023221,0.024313,0.022861,0.022517,0.01822,0.020152,0.016053,0.026134,0.019405,0.022952,0.020601,0.014112
ESP,0.077163,0.08075,0.071478,0.063457,0.057502,0.052139,0.061985,0.058872,0.059264,0.047706,0.06759,0.081802,0.060199,0.048333,0.054978,0.069603,0.080566,0.072191,0.062944,0.07269
GEO,0.0052273,0.0047173,0.0041229,0.0034696,0.0040443,0.0042868,0.0038774,0.0041072,0.0033613,0.0040332,0.0042088,0.0032142,0.0037229,0.0038508,0.0035123,0.0045342,0.0041255,0.0044185,0.0039262,0.0036478
KGZ,0.004737,0.0043141,0.0047929,0.004542,0.0037713,0.0043761,0.0041649,0.0040695,0.0037209,0.0036356,0.003353,0.0043132,0.004004,0.005369,0.0036185,0.003643,0.0045591,0.0049541,0.003828,0.0043571
PRK,0.017118,0.016495,0.0089617,0.012626,0.0061713,0.0091294,0.015128,0.011835,0.010178,0.008968,0.0086429,0.0030642,0.0025729,0.0073633,0.010595,0.0065046,0.0046731,0.0097775,0.010843,0.0043541
AND,0.000074245,0.000072242,0.000066315,0.000056527,0.000048506,0.000043984,0.000059499,0.000063318,0.000053158,0.000034363,0.000069616,0.0000929,0.000064953,0.000049787,0.000066777,0.000068991,0.000067376,0.000072695,0.000055326,0.000087955
ALB,0.0049519,0.0051493,0.0043687,0.0048653,0.0052902,0.0052234,0.0044168,0.0046818,0.0059777,0.0035548,0.0041649,0.0038379,0.0044126,0.0045317,0.0024631,0.004951,0.0039446,0.0053151,0.0052999,0.0035584
TKM,0.013255,0.012591,0.014579,0.015364,0.01426,0.018233,0.018265,0.013795,0.01061,0.010517,0.011197,0.013347,0.012449,0.013048,0.010825,0.012163,0.015019,0.014208,0.013271,0.014415
MKD,0.0040116,0.0043963,0.0035281,0.0037735,0.0043374,0.0042167,0.0033212,0.0035652,0.0047942,0.0023325,0.0029795,0.0026377,0.0033908,0.0033911,0.0014939,0.003441,0.0026395,0.0037841,0.0036622,0.002208
TUR,0.081824,0.07907,0.07119,0.078768,0.079727,0.08832,0.091741,0.080676,0.082878,0.099372,0.091191,0.090036,0.078449,0.088491,0.07846,0.10495,0.090155,0.0899,0.086073,0.073036
PRT,0.0097663,0.010775,0.0095805,0.0085284,0.0076189,0.0071358,0.0078206,0.0072394,0.0078321,0.0069146,0.0085726,0.0097075,0.0074875,0.0061152,0.0063818,0.008691,0.011224,0.0089623,0.0082936,0.0080802
AZE,0.0081637,0.0074792,0.0069324,0.0069579,0.0073176,0.0074077,0.0071595,0.0066775,0.0058106,0.0065636,0.0068568,0.0061003,0.0065089,0.0070637,0.0063297,0.0076382,0.007696,0.0079603,0.007392,0.0073275
GRC,0.028663,0.02998,0.025245,0.028263,0.030975,0.030377,0.026072,0.026865,0.034063,0.024445,0.02607,0.02499,0.025802,0.027585,0.017921,0.029745,0.024524,0.031838,0.030045,0.020623
ARM,0.0023573,0.0021146,0.0018128,0.0014636,0.0017825,0.0019002,0.0017379,0.0017901,0.0014224,0.001786,0.0018682,0.0013698,0.0016486,0.001763,0.0015874,0.0020751,0.0018834,0.0020705,0.0017979,0.0016643
TJK,0.0058165,0.005142,0.005128,0.0063542,0.0053374,0.0059741,0.0068957,0.0057296,0.00534,0.0047753,0.0054049,0.0055612,0.0064709,0.0060424,0.0050049,0.0048446,0.0076323,0.0058973,0.0055491,0.0059228
IRN,0.089259,0.090987,0.087858,0.09845,0.10312,0.12085,0.13034,0.096701,0.081665,0.08791,0.1008,0.10204,0.1041,0.10117,0.094242,0.10853,0.11536,0.1085,0.11402,0.10442
KOR,0.033701,0.034691,0.030239,0.038491,0.038265,0.036316,0.042151,0.021698,0.020806,0.021226,0.024979,0.021957,0.019343,0.021692,0.021744,0.023787,0.024112,0.026321,0.026372,0.026018
AFG,0.019838,0.017884,0.019411,0.021869,0.020967,0.023093,0.025487,0.022203,0.01947,0.018113,0.020025,0.018689,0.021035,0.018124,0.016872,0.016871,0.024413,0.019391,0.020515,0.021609
TUN,0.010766,0.0095228,0.010476,0.0079907,0.0082962,0.0097503,0.01096,0.011503,0.010673,0.0087243,0.0088128,0.0089852,0.0046917,0.0050735,0.0051646,0.0094649,0.0062038,0.0068615,0.010492,0.010275
IRQ,0.031152,0.030417,0.030969,0.030582,0.035202,0.044283,0.046891,0.035545,0.031387,0.034138,0.035046,0.035261,0.038339,0.03918,0.034753,0.044152,0.040307,0.036864,0.043426,0.033163
SYR,0.021116,0.018931,0.017789,0.015018,0.017886,0.02593,0.026671,0.020454,0.019424,0.019557,0.019016,0.019921,0.020374,0.025095,0.019652,0.02642,0.023559,0.020487,0.026116,0.020426
DZA,0.029227,0.026588,0.028195,0.02841,0.033721,0.031563,0.035007,0.029489,0.030796,0.027488,0.029786,0.034051,0.029623,0.029694,0.029025,0.030898,0.027211,0.032838,0.031897,0.034515
PAK,0.13249,0.10303,0.11151,0.12556,0.14058,0.14353,0.13321,0.12327,0.13286,0.14464,0.17276,0.16005,0.17661,0.11999,0.12774,0.18606,0.16598,0.12932,0.15897,0.20538
