code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TUR,0.10736,0.10133,0.090004,0.084045,0.089478,0.097251,0.095566,0.085667,0.086376,0.082213,0.093236,0.080791,0.085772,0.104,0.09405,0.099829,0.10094,0.10249,0.10238,0.10002,0.1033,0.10063
PRT,0.012487,0.01568,0.014317,0.013043,0.011948,0.013805,0.012829,0.011264,0.012728,0.012411,0.012312,0.013751,0.012806,0.012471,0.010908,0.011831,0.012108,0.010533,0.011305,0.011671,0.011114,0.011571
AZE,0.0080598,0.0076532,0.0073445,0.0075182,0.0078085,0.0077468,0.0079739,0.0067042,0.0058466,0.0061552,0.0068359,0.006532,0.0069508,0.0079483,0.0072946,0.0076346,0.008421,0.008534,0.0079371,0.0094867,0.010223,0.009846
GRC,0.021978,0.02233,0.018733,0.018025,0.021777,0.020957,0.020437,0.019173,0.023071,0.019551,0.019666,0.018337,0.018143,0.022594,0.020761,0.019268,0.020788,0.02146,0.022715,0.019207,0.019054,0.019265
ARM,0.0023156,0.0021979,0.0020676,0.0018885,0.0020272,0.0021,0.0021432,0.0017876,0.0015366,0.0016254,0.0018149,0.0015217,0.0018102,0.0019291,0.0018191,0.0019673,0.0021023,0.0021825,0.0019674,0.0021811,0.0024325,0.0023412
TJK,0.0040844,0.0034966,0.0032414,0.0034822,0.0032986,0.0035581,0.0036335,0.0034324,0.0031598,0.0030855,0.0031474,0.0033089,0.003369,0.0039648,0.0032359,0.0031675,0.0039818,0.0035827,0.0032426,0.0036758,0.0037385,0.0036371
IRN,0.083797,0.086575,0.077858,0.086718,0.087791,0.096123,0.098545,0.086835,0.077196,0.080605,0.095666,0.09145,0.092784,0.098515,0.092338,0.10098,0.10916,0.10462,0.099682,0.10604,0.10921,0.10493
KOR,0.038419,0.043703,0.039471,0.035191,0.034743,0.038552,0.040935,0.027981,0.024399,0.026699,0.028251,0.027444,0.024974,0.025588,0.025572,0.027456,0.029635,0.027713,0.027346,0.02996,0.028977,0.030391
AFG,0.022652,0.020959,0.020128,0.01991,0.02044,0.022531,0.023322,0.020259,0.018427,0.017007,0.017886,0.018233,0.019423,0.021557,0.017077,0.019439,0.022839,0.01905,0.019977,0.022204,0.022373,0.020973
TUN,0.014589,0.012942,0.013655,0.010081,0.010366,0.012656,0.0137,0.01466,0.013466,0.010712,0.010637,0.010753,0.0099271,0.013169,0.012442,0.012653,0.0123,0.012739,0.01529,0.013617,0.013143,0.013274
IRQ,0.032947,0.032292,0.029649,0.0309,0.033774,0.038923,0.037264,0.032201,0.030952,0.032163,0.034325,0.032181,0.035149,0.039316,0.036103,0.042384,0.038621,0.037596,0.035872,0.036825,0.037831,0.036166
SYR,0.019506,0.018553,0.016634,0.015106,0.017702,0.020166,0.019159,0.017092,0.017341,0.015828,0.017771,0.015668,0.016944,0.021065,0.019963,0.021695,0.019988,0.02098,0.019452,0.020046,0.020263,0.019863
DZA,0.030394,0.027933,0.02847,0.028217,0.033504,0.034298,0.034912,0.032891,0.03185,0.027476,0.030494,0.032308,0.031955,0.034176,0.034639,0.031293,0.03309,0.034405,0.03383,0.034219,0.032675,0.033031
PAK,0.11406,0.09211,0.080921,0.0827,0.084708,0.098001,0.089142,0.078906,0.078675,0.081604,0.093534,0.086263,0.087211,0.09502,0.081322,0.10895,0.10481,0.084386,0.097854,0.10248,0.10009,0.092592
MLT,0.000086711,0.000078132,0.000088913,0.000092913,0.000099368,0.00009395,0.00010575,0.00010752,0.000098671,0.000087663,0.000093816,0.000073216,0.000074134,0.000076948,0.000082592,0.000093949,0.00009298,0.000082151,0.000095511,0.00008868,0.000086298,0.000087164
MAR,0.030971,0.025709,0.017981,0.014759,0.018621,0.021875,0.026589,0.021287,0.017896,0.017963,0.021139,0.020888,0.01803,0.023707,0.020103,0.024022,0.023122,0.025947,0.022872,0.02623,0.024942,0.02495
CYP,0.0056408,0.0058459,0.0055531,0.0057207,0.006565,0.0077877,0.0059365,0.0055062,0.0065262,0.0062482,0.0062019,0.006629,0.0072383,0.0084654,0.0081909,0.0094112,0.010938,0.0086999,0.0084715,0.0094273,0.009297,0.0092186
IND,1.1786,0.9573,0.79239,0.86759,0.82049,0.95423,0.89074,0.7918,0.87828,0.81213,0.98921,0.83544,0.85588,0.87631,0.85997,1.0514,1.1751,0.9314,0.97234,0.8821,0.89247,0.76615
LBN,0.0019599,0.0019714,0.0017613,0.0017179,0.0020877,0.0021623,0.0021197,0.0020669,0.0021958,0.0019127,0.0020601,0.0018484,0.0019024,0.0022785,0.0021852,0.0023313,0.0022614,0.0024281,0.0021122,0.0020088,0.0019754,0.0019472
JOR,0.0057851,0.0055508,0.0053446,0.0053384,0.0058178,0.0067069,0.0062368,0.0062153,0.0065134,0.0058613,0.0062111,0.0059406,0.0062114,0.0071383,0.0065886,0.0075313,0.0066155,0.0075511,0.0070628,0.0065814,0.0065187,0.0064277
ISR,0.0025901,0.00252,0.002381,0.0023659,0.0026624,0.0029164,0.0027662,0.002804,0.0029586,0.0026011,0.0027782,0.0025826,0.0026813,0.0030496,0.0028423,0.003206,0.0029541,0.003325,0.0030317,0.0027762,0.0027322,0.0027003
LBY,0.0098639,0.0089729,0.010664,0.01103,0.012283,0.011462,0.012938,0.013901,0.012811,0.011082,0.0119,0.011668,0.012224,0.014363,0.015864,0.017051,0.016036,0.015142,0.017404,0.016236,0.016076,0.015799
