code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SVN,0.0041893,0.004884,0.0073209,0.0063444,0.0075615,0.0054682,0.0057696,0.0046753,0.0060918,0.0060319,0.0065459,0.0044544,0.0047599,0.0072257,0.0054667,0.0056014,0.0069503,0.0055578,0.0017094,0.0050256,0.0067131,0.0073582
HRV,0.0082648,0.011727,0.019641,0.016817,0.019016,0.010472,0.012905,0.0042198,0.014036,0.014025,0.015756,0.011777,0.016141,0.026913,0.015766,0.015946,0.021888,0.015437,0.003261,0.01302,0.017443,0.02011
SRB,0.014525,0.021286,0.030911,0.027887,0.024092,0.014428,0.014359,0.016022,0.023571,0.025378,0.025896,0.019749,0.025921,0.032021,0.0257,0.019598,0.028513,0.020509,0.0088508,0.022162,0.022839,0.025873
UZB,0.014542,0.020937,0.024844,0.019926,0.023214,0.029022,0.019934,0.038515,0.024935,0.024587,0.030032,0.031586,0.033396,0.015444,0.035328,0.029542,0.030268,0.033559,0.029921,0.034025,0.028242,0.029469
JPN,0.066583,0.072861,0.059763,0.041481,0.032745,0.035244,0.047,0.040798,0.047857,0.056618,0.052707,0.05354,0.052814,0.053606,0.06393,0.054448,0.052902,0.049845,0.049838,0.053444,0.052315,0.055515
BIH,0.0064408,0.010014,0.015623,0.013371,0.013425,0.006563,0.0079772,0.0035215,0.011116,0.012449,0.012901,0.0099314,0.013024,0.022322,0.014272,0.011858,0.017838,0.011685,0.0026534,0.010287,0.012348,0.014488
BGR,0.015231,0.024819,0.033895,0.030242,0.024686,0.020959,0.017579,0.021265,0.031462,0.02769,0.03135,0.018504,0.024669,0.022265,0.023622,0.016061,0.021456,0.018099,0.015653,0.023131,0.020292,0.023817
ESP,0.056076,0.066592,0.069355,0.089446,0.081289,0.11212,0.089016,0.092397,0.0697,0.081299,0.058287,0.057496,0.098307,0.064349,0.085338,0.069602,0.1016,0.098649,0.102,0.076686,0.087131,0.042811
GEO,0.0038824,0.0044156,0.0051723,0.0051011,0.0050448,0.0057559,0.0063113,0.0069325,0.0085653,0.0086824,0.0059495,0.0047943,0.0054429,0.0027241,0.0080993,0.007182,0.0048681,0.0057944,0.0061039,0.0072673,0.0055084,0.0064805
KGZ,0.0042257,0.0065842,0.0087309,0.0082351,0.0090273,0.009389,0.0074591,0.0014037,0.0060338,0.0093425,0.013384,0.013951,0.011553,0.0049604,0.011066,0.0076451,0.0085484,0.010475,0.0092886,0.010484,0.0081551,0.0079787
