code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ESP,0.071922,0.08563,0.089368,0.11574,0.10497,0.14553,0.11522,0.1196,0.089722,0.10538,0.075077,0.073813,0.1279,0.0827,0.11074,0.089935,0.1322,0.12797,0.13221,0.098698,0.11292,0.053787
GEO,0.0047417,0.0054339,0.0064005,0.0062963,0.0061965,0.0071013,0.0079021,0.008594,0.011043,0.011235,0.007616,0.0060511,0.0069804,0.003438,0.010625,0.009454,0.0063496,0.0076211,0.0080223,0.0095536,0.0072118,0.008554
KGZ,0.0061514,0.0095224,0.012757,0.012057,0.013192,0.013574,0.010839,0.0015428,0.0085205,0.013617,0.019574,0.020309,0.016578,0.0070154,0.015864,0.010767,0.012107,0.014844,0.013136,0.014884,0.01152,0.011283
PRK,0.0054839,0.0039688,-0.00043437,0.0015754,-0.0080003,-0.0022375,0.002881,-0.0060945,-0.0040231,0.0079676,0.0030301,0.0035654,0.0063538,0.0060734,0.011618,0.0091432,0.0032924,0.0038959,0.010577,0.0092481,0.0067551,0.0057286
AND,0.00003359,0.000048526,0.000062608,0.000075822,0.00011137,0.00021183,0.0001345,0.00011339,0.000092132,0.000066166,0.000064028,0.000052375,0.000095352,0.00010006,0.000087144,0.00007164,0.00011969,0.0001352,0.00013912,0.000090304,0.00011291,0.000061748
ALB,0.0043247,0.0050753,0.0072584,0.0069053,0.0058126,0.0043765,0.0046473,0.0046371,0.0057512,0.0057617,0.0057245,0.0057899,0.0063074,0.0079007,0.0059099,0.0052438,0.0070512,0.0057463,0.0037008,0.0053172,0.0054297,0.0055383
TKM,0.028559,0.043041,0.049666,0.038581,0.044678,0.058219,0.040976,0.073998,0.052142,0.042643,0.051901,0.051062,0.058295,0.032017,0.065009,0.053348,0.057461,0.06524,0.058417,0.067135,0.054348,0.057127
MKD,0.0039403,0.0054342,0.007713,0.0067456,0.0055041,0.0040012,0.0036251,0.0024836,0.0061098,0.0054646,0.0059572,0.0043848,0.0059347,0.0061557,0.0043587,0.003489,0.0045833,0.0037126,0.0020728,0.0046598,0.004241,0.0046977
TUR,0.087298,0.11663,0.13244,0.12918,0.10851,0.12622,0.12956,0.094961,0.17,0.14621,0.15809,0.098128,0.1288,0.10173,0.149,0.12454,0.13639,0.15868,0.1511,0.18448,0.1698,0.17624
PRT,0.022217,0.022758,0.024029,0.027028,0.023248,0.026916,0.023256,0.028173,0.02434,0.024595,0.020764,0.021688,0.028439,0.018785,0.02993,0.025957,0.031123,0.031529,0.028548,0.023196,0.025869,0.017927
