code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
HTI,0.0032883,0.0038616,0.0036809,0.003838,0.0036502,0.0040389,0.0040613,0.003957,0.0043169,0.0038078,0.0037608,0.0032915,0.0035787,0.0035912,0.003525,0.003383,0.003667,0.0040203,0.0044331,0.0044627,0.0040579,0.0037348
DOM,0.0036714,0.0047716,0.004125,0.0046916,0.0043127,0.0044944,0.0045188,0.0042333,0.0046384,0.0043096,0.0039213,0.0035753,0.0036993,0.0035968,0.0037086,0.0032975,0.003604,0.0044735,0.0050007,0.0052638,0.004413,0.0041609
PHL,0.025078,0.032673,0.027091,0.020883,0.026848,0.032287,0.033258,0.031063,0.034219,0.034804,0.038578,0.034105,0.030811,0.031289,0.037364,0.030876,0.030448,0.033361,0.033022,0.036899,0.036353,0.030327
YEM,0.015592,0.016282,0.017014,0.015896,0.015689,0.015133,0.016686,0.016534,0.016528,0.014475,0.015684,0.015668,0.015511,0.014251,0.016841,0.014205,0.014086,0.015735,0.014612,0.01571,0.015496,0.015124
JAM,0.0017515,0.002267,0.0021105,0.0020895,0.0021698,0.0023116,0.002383,0.0021671,0.0024554,0.0021935,0.0023388,0.0021517,0.0021657,0.0021872,0.0019237,0.0018972,0.0019756,0.0022035,0.0022353,0.0023566,0.0022204,0.0020316
BLZ,0.0020601,0.0029746,0.0042111,0.0028818,0.0030043,0.0035092,0.0029129,0.0033017,0.0035643,0.0028929,0.0028525,0.0025517,0.0031246,0.0018279,0.0028576,0.0026475,0.0024765,0.0030612,0.0026412,0.0029829,0.002998,0.0024706
USA,0.00073937,0.0010306,0.00073729,0.0008994,0.00081309,0.00075021,0.00075197,0.00069023,0.00073363,0.00056956,0.0005284,0.00056809,0.0005139,0.00048046,0.00049199,0.00032563,0.00041756,0.00064131,0.00068156,0.00075009,0.00065105,0.0006249
KHM,0.024736,0.032781,0.03992,0.025771,0.03228,0.040602,0.03658,0.045137,0.050502,0.041573,0.052239,0.04513,0.041112,0.039236,0.059293,0.045721,0.04767,0.055656,0.048991,0.058607,0.052062,0.046281
GBR,0.000041254,0.000084762,0.000064767,0.000092347,0.000065419,0.000056013,0.000055465,0.000062012,0.000080149,0.000050532,0.000048098,0.000048516,0.00004029,0.000041776,0.000046431,0.000023251,0.000027885,0.000074824,0.0000735,0.000079889,0.000075685,0.000073636
NLD,0.00051892,0.00075455,0.00064466,0.0007957,0.00063983,0.00058169,0.00058364,0.00061689,0.00071838,0.00054847,0.00053389,0.00054226,0.00050521,0.00051632,0.00053863,0.00040094,0.00042538,0.00069334,0.00067522,0.00072131,0.00070044,0.00068853
