code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
LIE,0.000012447,0.000013968,0.000029917,0.000025678,0.000039141,0.000042888,0.000040606,0.000019572,0.000029261,0.000029869,0.000027558,0.000013754,0.00001271,0.000050911,0.000025399,0.000031499,0.00004636,0.000035535,0.000012209,0.000026095,0.000042959,0.000047293
FRA,0.000082182,0.000086036,0.00008788,0.000097768,0.000077707,0.00008578,0.000082447,0.000098445,0.000077249,0.000093828,0.000093827,0.000093229,0.00009948,0.000097089,0.000083569,0.000074249,0.00010099,0.00011383,0.00011707,0.000092369,0.000079465,0.00010662
ITA,0.057558,0.063236,0.096999,0.08744,0.10856,0.10231,0.10525,0.050385,0.096082,0.088559,0.084236,0.051672,0.064046,0.15528,0.070021,0.082123,0.1174,0.09825,0.046681,0.056682,0.085361,0.08525
SVN,0.0042888,0.005,0.0074946,0.006495,0.007741,0.0055971,0.0059048,0.0047841,0.0062326,0.0061704,0.0066951,0.0045553,0.004867,0.0073871,0.0055879,0.0057248,0.0071023,0.0056784,0.0017465,0.0051347,0.0068588,0.007518
HRV,0.0090219,0.012896,0.021737,0.018523,0.020993,0.011436,0.014194,0.0040133,0.01538,0.015276,0.017205,0.012885,0.017837,0.029947,0.017208,0.017558,0.024138,0.01692,0.003497,0.014202,0.019131,0.022069
SRB,0.015012,0.022237,0.032599,0.029243,0.025213,0.014927,0.014916,0.016042,0.024512,0.026402,0.026887,0.020442,0.02692,0.033796,0.026695,0.020375,0.029777,0.021234,0.0090565,0.02286,0.023591,0.026762
UZB,0.02272,0.032545,0.038427,0.030504,0.035884,0.044787,0.030713,0.062094,0.038188,0.037212,0.044712,0.047466,0.049765,0.023175,0.053036,0.044081,0.045169,0.049896,0.044404,0.050443,0.041685,0.044165
JPN,0.072892,0.079655,0.065421,0.045854,0.036248,0.038971,0.052016,0.045047,0.052841,0.062517,0.058099,0.059142,0.058371,0.059184,0.070657,0.060144,0.05852,0.055187,0.055141,0.059103,0.057871,0.061411
BIH,0.0068791,0.010731,0.016776,0.014342,0.014357,0.0069898,0.0084669,0.0036677,0.01175,0.013108,0.013538,0.01038,0.013605,0.023284,0.01478,0.012274,0.018416,0.012013,0.0027164,0.010566,0.012704,0.014906
BGR,0.015574,0.025406,0.034703,0.030953,0.025268,0.02151,0.018072,0.02185,0.032424,0.028553,0.032395,0.019115,0.025531,0.023094,0.024528,0.016697,0.022373,0.01891,0.016361,0.024153,0.021182,0.024872
ESP,0.071916,0.085624,0.089361,0.11573,0.10496,0.14552,0.11522,0.11959,0.089715,0.10537,0.075072,0.073808,0.12789,0.082696,0.11073,0.089928,0.13219,0.12796,0.1322,0.098693,0.11291,0.053784
GEO,0.0047374,0.0054292,0.0063955,0.0062912,0.0061915,0.007096,0.0078963,0.0085873,0.011036,0.011228,0.0076098,0.0060455,0.0069743,0.0034343,0.010618,0.0094468,0.0063437,0.0076141,0.0080149,0.0095454,0.0072053,0.0085469
KGZ,0.006196,0.0095889,0.012849,0.012186,0.01333,0.013697,0.01097,0.0015564,0.0085676,0.013741,0.019763,0.020483,0.016684,0.0070779,0.016012,0.010854,0.012211,0.014952,0.013236,0.015005,0.011621,0.011376
PRK,0.0054839,0.0039688,-0.00043437,0.0015754,-0.0080003,-0.0022375,0.002881,-0.0060945,-0.0040231,0.0079676,0.0030301,0.0035654,0.0063538,0.0060734,0.011618,0.0091432,0.0032924,0.0038959,0.010577,0.0092481,0.0067551,0.0057286
AND,0.00003359,0.000048526,0.000062608,0.000075822,0.00011137,0.00021183,0.0001345,0.00011339,0.000092132,0.000066166,0.000064028,0.000052375,0.000095352,0.00010006,0.000087144,0.00007164,0.00011969,0.0001352,0.00013912,0.000090304,0.00011291,0.000061748
ALB,0.0043426,0.0050991,0.007292,0.0069344,0.0058368,0.0043942,0.0046641,0.0046456,0.0057783,0.0057846,0.0057508,0.0058084,0.0063325,0.0079269,0.0059268,0.0052579,0.0070671,0.0057603,0.0037082,0.0053353,0.0054451,0.0055557
