code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TUN,0.012289,0.010914,0.011978,0.0091939,0.0095847,0.011155,0.012528,0.013145,0.012209,0.009945,0.010035,0.010218,0.0054273,0.0058477,0.0059608,0.010683,0.0070764,0.0078301,0.011817,0.011554
IRQ,0.032213,0.031459,0.032031,0.031642,0.036419,0.045802,0.048483,0.036741,0.032435,0.035266,0.036194,0.036401,0.039576,0.040401,0.035853,0.045498,0.04152,0.037974,0.044671,0.034172
SYR,0.025468,0.02281,0.021435,0.018048,0.021507,0.031268,0.031952,0.024338,0.022968,0.023067,0.022341,0.023296,0.023727,0.029103,0.022694,0.030368,0.026912,0.023285,0.02963,0.023135
DZA,0.040927,0.037465,0.039028,0.039103,0.046835,0.043016,0.047121,0.040345,0.042481,0.03742,0.040292,0.04572,0.039,0.03896,0.038276,0.040973,0.03554,0.043165,0.041968,0.045189
PAK,0.13749,0.10714,0.11552,0.13134,0.14552,0.14804,0.13953,0.12849,0.13834,0.14987,0.17936,0.16566,0.18437,0.12538,0.13333,0.1917,0.17358,0.13406,0.16557,0.21207
MLT,0.00047514,0.00047253,0.00047704,0.00045443,0.00047915,0.0004782,0.00051172,0.00050593,0.00052826,0.0005026,0.0004887,0.00032012,0.00024723,0.00026,0.00026853,0.0002762,0.00026014,0.00026713,0.00028355,0.00028201
MAR,0.038986,0.041042,0.03032,0.029511,0.028919,0.027819,0.03709,0.027739,0.02904,0.027639,0.027612,0.032349,0.02724,0.026737,0.021377,0.036007,0.031201,0.033899,0.03235,0.033868
CYP,0.0039529,0.0038823,0.0034626,0.0034563,0.004294,0.0044106,0.0061726,0.0053785,0.0050894,0.0044416,0.0041529,0.0040749,0.0041707,0.0047839,0.0033113,0.0043577,0.0046197,0.0042304,0.0036334,0.0037114
IND,0.87412,0.74776,0.72135,0.85079,0.83769,0.96779,0.79218,0.72908,0.78112,0.95213,1.0095,1.0092,1.0542,0.76916,0.76605,1.0902,0.95149,0.86348,1.0523,1.056
LBN,0.0014979,0.0014525,0.0013214,0.001315,0.0015812,0.0017446,0.0022428,0.0019452,0.0019123,0.0016743,0.0015546,0.0015677,0.0015724,0.001832,0.0013343,0.0017694,0.001826,0.0016532,0.0015483,0.0015067
JOR,0.0047313,0.004639,0.0046009,0.0054337,0.0052877,0.0065491,0.0065379,0.0062987,0.0080302,0.0064041,0.0055476,0.0063029,0.0056072,0.0066552,0.0061673,0.0081537,0.0084412,0.0074961,0.0077278,0.0077334
ISR,0.004199,0.0041833,0.0041461,0.0048773,0.0048867,0.0059194,0.0059673,0.0058329,0.0074326,0.0058761,0.0050185,0.0057009,0.0050139,0.0060236,0.0053034,0.0072042,0.0076331,0.006826,0.0068639,0.0068131
LBY,0.011984,0.011164,0.012727,0.012571,0.014494,0.013476,0.015229,0.014768,0.014702,0.012566,0.013085,0.012595,0.01261,0.013822,0.014664,0.016122,0.015147,0.014512,0.017029,0.015565
MEX,0.30485,0.28564,0.26465,0.30152,0.27726,0.28053,0.22925,0.25797,0.25568,0.27379,0.24687,0.25575,0.28756,0.19948,0.24447,0.24187,0.28236,0.28297,0.36655,0.29753
SAU,0.068431,0.067098,0.056078,0.068407,0.059742,0.056469,0.073292,0.074188,0.057515,0.050295,0.048728,0.046387,0.051677,0.052739,0.057429,0.059245,0.054692,0.048994,0.053356,0.054459
EGY,0.034212,0.035119,0.035203,0.039267,0.036328,0.043606,0.038728,0.040269,0.050309,0.044318,0.040948,0.045457,0.041928,0.051653,0.044714,0.057031,0.058985,0.054898,0.058089,0.06012
NPL,0.029609,0.02697,0.025376,0.028362,0.028895,0.029714,0.019327,0.024842,0.023855,0.029208,0.035021,0.039169,0.038975,0.023431,0.023906,0.038143,0.037103,0.028369,0.035659,0.035647
KWT,0.0020148,0.0019851,0.0018285,0.0022807,0.0023119,0.0025308,0.0028606,0.0021083,0.0019251,0.0020717,0.0023549,0.0022254,0.0024137,0.0021224,0.0023242,0.0025136,0.002415,0.0024092,0.0023943,0.0022715
MMR,0.10303,0.11122,0.11002,0.13095,0.12458,0.12311,0.099913,0.079153,0.093461,0.12756,0.1198,0.12464,0.1428,0.094692,0.11208,0.15094,0.11579,0.13375,0.144,0.12768
BTN,0.010401,0.0096756,0.0089419,0.010131,0.011072,0.010719,0.0083701,0.0067181,0.0077816,0.010839,0.012095,0.012983,0.013786,0.0082021,0.0063224,0.012749,0.0097188,0.009447,0.013239,0.011462
ESH,0.0033367,0.0032193,0.0030697,0.0030756,0.0035819,0.00351,0.0036771,0.0034534,0.0034174,0.0034429,0.0035835,0.0037382,0.0038222,0.0037205,0.0034036,0.0032987,0.0036331,0.004154,0.0039627,0.0041607
MRT,0.026304,0.022335,0.025103,0.020634,0.026996,0.019522,0.017337,0.023209,0.025698,0.021924,0.023716,0.020884,0.017784,0.021388,0.014325,0.032385,0.016455,0.025545,0.025342,0.026588
BHS,0.0096439,0.0088176,0.0078306,0.0090021,0.008107,0.0099803,0.0104,0.010549,0.006725,0.0069905,0.006973,0.0064516,0.0085435,0.0080092,0.0070701,0.007866,0.006973,0.0083591,0.0079067,0.0078465
BGD,0.054666,0.051122,0.04743,0.053376,0.05834,0.056475,0.044561,0.035993,0.041584,0.057114,0.063443,0.067934,0.072111,0.043553,0.034424,0.066799,0.051392,0.050063,0.069168,0.060148
OMN,0.0082714,0.0091727,0.0085627,0.0080163,0.0089555,0.0097839,0.0095148,0.0094619,0.0084071,0.0091544,0.0096708,0.00945,0.0091006,0.0086863,0.0077933,0.0099136,0.010314,0.0091576,0.0097191,0.0092627
BHR,0.00016597,0.00017767,0.00016627,0.00015908,0.00017792,0.00017195,0.00018656,0.00017119,0.00017167,0.00018379,0.00018491,0.00017974,0.00017675,0.00017157,0.00016391,0.00018454,0.00018311,0.00017308,0.00018096,0.00017746
QAT,0.00088869,0.00095132,0.00089029,0.0008518,0.0009527,0.00092069,0.00099895,0.00091665,0.0009192,0.00098409,0.00099009,0.00096242,0.0009464,0.00091866,0.00087765,0.0009881,0.00098046,0.00092678,0.00096895,0.00095023
ARE,0.0034892,0.0040814,0.0035207,0.0035663,0.0036333,0.0037832,0.0040388,0.0039056,0.0037789,0.0039898,0.0043684,0.0041804,0.0041076,0.003728,0.0035823,0.0048471,0.0051158,0.0044429,0.0045919,0.0043389
CHN,0.0082054,0.0079331,0.0076611,0.0083342,0.007759,0.0076456,0.0074913,0.0071622,0.0061667,0.0091137,0.0094122,0.01002,0.011579,0.0092593,0.0093969,0.0096057,0.0083456,0.0086941,0.009486,0.009441
MLI,0.08946,0.083543,0.085063,0.075275,0.092528,0.062396,0.06163,0.075316,0.093525,0.077706,0.084242,0.072091,0.057548,0.075049,0.048659,0.12119,0.060102,0.095897,0.089136,0.10059
NER,0.057564,0.065499,0.07221,0.058062,0.061071,0.042688,0.044877,0.046066,0.057821,0.053563,0.052837,0.042535,0.043309,0.048557,0.038603,0.065196,0.044432,0.061613,0.049767,0.058097
TCD,0.12321,0.10583,0.11832,0.11883,0.12727,0.1102,0.12135,0.11837,0.14168,0.13117,0.11357,0.1093,0.1106,0.11623,0.09448,0.15682,0.10797,0.12674,0.11736,0.12035
VNM,0.068244,0.066997,0.077542,0.084787,0.07579,0.082113,0.06655,0.064937,0.073433,0.087519,0.075102,0.087284,0.094631,0.065609,0.075883,0.10419,0.088983,0.10876,0.11465,0.10241
CUB,0.0182,0.017575,0.017863,0.019232,0.017079,0.017486,0.017873,0.018043,0.015608,0.015895,0.014725,0.015754,0.016558,0.015722,0.015591,0.014216,0.013477,0.016482,0.015673,0.016128
SDN,0.3277,0.29613,0.30898,0.2978,0.29619,0.29345,0.34369,0.3023,0.34485,0.29165,0.31414,0.30798,0.32573,0.32555,0.27916,0.4708,0.3376,0.34028,0.34196,0.31793
LAO,0.04563,0.044669,0.050591,0.073778,0.052722,0.055691,0.040081,0.037958,0.040152,0.055134,0.046959,0.051729,0.071441,0.039888,0.046566,0.072263,0.04888,0.068312,0.068629,0.062644
CHN,0.00076724,0.0006546,0.00064718,0.00077613,0.00067809,0.00059072,0.00054755,0.00051306,0.00014985,0.00081424,0.00096892,0.00096041,0.0010675,0.00067352,0.00059054,0.00010763,0.0005773,0.00054033,0.00071015,0.00099256
GBR,0.0011655,0.0011934,0.0012024,0.0011222,0.0012082,0.0011953,0.0013819,0.0013117,0.0011913,0.0013171,0.0012388,0.0012278,0.0010762,0.0010302,0.0012735,0.001072,0.0010425,0.0012972,0.0013384,0.0012866
THA,0.12525,0.12558,0.13745,0.16732,0.14621,0.14493,0.11951,0.11142,0.12116,0.15862,0.14037,0.1403,0.17853,0.12019,0.12778,0.19283,0.14626,0.17438,0.18974,0.16935
HTI,0.0034586,0.0035374,0.0036073,0.0033156,0.0036033,0.0035214,0.0041543,0.0039673,0.0035741,0.0039157,0.0036852,0.0036365,0.0031723,0.0030298,0.003793,0.0031075,0.0030289,0.0038408,0.0039955,0.0038786
DOM,0.0033229,0.0034051,0.0035723,0.003147,0.0034482,0.0033364,0.0038389,0.0036465,0.0032943,0.0036593,0.0034436,0.0033711,0.0030799,0.0029671,0.0035017,0.0030165,0.0029169,0.0036538,0.0037502,0.0037313
PHL,0.032296,0.034969,0.038579,0.034425,0.031099,0.032181,0.034915,0.036289,0.03764,0.036514,0.032838,0.033239,0.032777,0.026859,0.030501,0.030913,0.028971,0.031203,0.031328,0.035969
YEM,0.016696,0.016842,0.016625,0.017141,0.015948,0.016441,0.017926,0.016444,0.016585,0.017681,0.015839,0.015703,0.014642,0.014331,0.012379,0.015177,0.016495,0.015522,0.015332,0.015238
JAM,0.0042423,0.0041719,0.0045922,0.0049414,0.0041891,0.0039278,0.0039453,0.0039831,0.0039478,0.0038845,0.0034302,0.0039449,0.0038472,0.0036853,0.0037702,0.0030136,0.0029044,0.0037903,0.0034776,0.0037703
BLZ,0.0060797,0.0051898,0.005541,0.0066463,0.0050085,0.0069782,0.0048775,0.0055257,0.0061839,0.006517,0.0054262,0.0051915,0.006495,0.0049552,0.0039566,0.0053753,0.0049514,0.0065951,0.006828,0.0064424
USA,0.00058055,0.00059802,0.00067466,0.0005316,0.00059598,0.00056074,0.0005985,0.00055887,0.00050944,0.00059063,0.00055574,0.00053085,0.00055333,0.00054501,0.00054431,0.00054167,0.00051286,0.00062119,0.00061329,0.00065424
KHM,0.043885,0.044433,0.050154,0.051634,0.051798,0.051819,0.044787,0.042931,0.047215,0.060194,0.048964,0.053532,0.061085,0.043844,0.047,0.070057,0.059127,0.072566,0.075604,0.064536
GBR,0.00002748,0.000028953,0.00002935,0.000026121,0.000025043,0.000025722,0.000027188,0.000027729,0.000026971,0.000034085,0.000030138,0.00002612,0.00002654,0.000033806,0.00003211,0.00003135,0.000034374,0.000031944,0.000031212,0.000029572
NLD,0.00041229,0.00041496,0.00051268,0.00039569,0.00037748,0.00047618,0.00043997,0.00042072,0.00046442,0.00048187,0.00052396,0.00048571,0.00040789,0.00037833,0.00046171,0.00036303,0.00056395,0.0004773,0.00039879,0.00047133
ERI,0.012108,0.011917,0.013706,0.014142,0.010886,0.012125,0.014662,0.01246,0.015189,0.011054,0.012225,0.01014,0.010066,0.0088785,0.01005,0.012929,0.012432,0.013315,0.014884,0.012349
GTM,0.016366,0.014673,0.015582,0.019793,0.014781,0.018892,0.013783,0.014944,0.017458,0.016822,0.015701,0.013812,0.017229,0.014525,0.013164,0.016056,0.014764,0.016549,0.017804,0.017275
USA,0.000098258,0.0001021,0.00011063,0.00009129,0.000096515,0.000093777,0.000099726,0.000096342,0.000090152,0.00010839,0.000099329,0.00009121,0.000094129,0.00010325,0.00010085,0.000099528,0.00010069,0.00010863,0.0001068,0.00010881
ATG,0.000054961,0.000057907,0.000058701,0.000052244,0.000050088,0.000051445,0.000054377,0.00005546,0.000053944,0.000068172,0.000060278,0.000052241,0.000053081,0.000067614,0.000064222,0.000062701,0.000068749,0.00006389,0.000062425,0.000059146
KNA,0.00005496,0.000057905,0.000058699,0.000052242,0.000050087,0.000051443,0.000054375,0.000055458,0.000053943,0.00006817,0.000060277,0.00005224,0.000053079,0.000067612,0.00006422,0.000062699,0.000068748,0.000063888,0.000062424,0.000059145
CPV,0.0025901,0.0027542,0.0026388,0.0024507,0.0026958,0.0026749,0.0025087,0.0027289,0.0025825,0.0026052,0.0024666,0.0026298,0.0026537,0.0024873,0.0025934,0.0023957,0.0025335,0.0026843,0.0026347,0.0027325
GBR,0.00010938,0.00011471,0.00013694,0.000099618,0.00010245,0.00010136,0.00011903,0.00010722,0.00011027,0.00012909,0.00011376,0.00011927,0.00010228,0.00010468,0.0001013,0.00010439,0.00011206,0.00012245,0.00010843,0.00011598
SEN,0.026756,0.021957,0.02516,0.018424,0.024591,0.019182,0.017129,0.023974,0.025787,0.021538,0.025517,0.019768,0.016721,0.020856,0.012953,0.032869,0.015749,0.024549,0.024673,0.024998
FRA,0.00012618,0.00013231,0.0001587,0.00011476,0.00011828,0.00011688,0.0001377,0.00012356,0.00012731,0.00014867,0.000131,0.00013814,0.00011786,0.00011968,0.00011589,0.00011968,0.00012837,0.00014108,0.00012451,0.00013373
HND,0.012438,0.012117,0.013759,0.01748,0.012008,0.013613,0.011733,0.012544,0.014515,0.013478,0.014052,0.011735,0.013681,0.012528,0.01265,0.015023,0.012997,0.013201,0.01398,0.013657
DMA,0.00012595,0.00013194,0.00016315,0.00011352,0.00011871,0.00011643,0.00014,0.00012259,0.00012777,0.00014685,0.0001293,0.0001415,0.00011685,0.00011242,0.00010944,0.00011466,0.0001223,0.00013971,0.00012055,0.00013308
BFA,0.043399,0.042102,0.043381,0.039453,0.041867,0.032983,0.034326,0.036138,0.045694,0.036895,0.042682,0.035992,0.030638,0.037853,0.028803,0.053353,0.035464,0.046127,0.042836,0.049925
